name,hexcode1,hexcode2,hexcode3
ATL,#e03a3e,#C1D32F,#26282A
BOS,#007A33,#BA9653,#963821
NOP,#0C2340,#C8102E,#85714D;
CHI,#CE1141,#000000,
DAL,#00538C,#002B5E,#B8C4CA
DEN,#0E2240,#FEC524,#8B2131
HOU,#CE1141,#000000,#C4CED4
LAC,#C8102E,#1D428A,#BEC0C2
LAL,#552583,#FDB927,#000000
MIA,#98002E,#F9A01B,#000000
MIL,#00471B,#EEE1C6,#0077C0
MIN,#0C2340,#236192,#9EA2A2
BKN,#000000,#FFFFFF,
NYK,#006BB6,#F58426,#BEC0C2
ORL,#0077C0,#C4CED4,#000000
IND,#002D62,#FDBB30,#BEC0C2
PHI,#006BB6,#ED174C,#002B5C
PHX,#1D1160,#E56020,#000000
POR,#E03A3E,#000000,
SAC,#5A2D81,#63727A,#000000
SAS,#C4CED4,#000000,
TOR,#CE1141,#000000,#A1A1A4
UTA,#002B5C,#00471B,#F9A01B
MEM,#5D76A9,#12173F,#F5B112
WAS,#002B5C,#E31837,#C4CED4
DET,#C8102E,#1D42BA,#BEC0C2
CHA,#1D1160,#00788C,#A1A1A4
CLE,#860038,#041E42,#FDBB30
GSW,#1D428A,#FFC72,
